Orig_Idx,Time_Interval_End,Time,Mid_Price,Ask_Size_1,Ask_Price_1,Bid_Price_1,Bid_Size_1
80,0.5,0.484768,585.81,18,585.92,585.7,27
103,1,0.962954,585.805,100,585.87,585.74,100
187,1.5,1.4223,585.62,100,585.8,585.44,167
201,2,1.84085,585.62,18,585.77,585.47,18
239,2.5,2.49202,585.62,100,585.8,585.44,167
257,3,2.75691,585.575,18,585.68,585.47,100
289,3.5,3.40755,585.575,18,585.68,585.47,10
299,4,3.95477,585.58,100,585.71,585.45,18
312,4.5,4.39842,585.615,18,585.76,585.47,18
331,5,4.89447,585.59,900,585.68,585.5,18
339,5.5,5.38846,585.56,118,585.65,585.47,100
348,6,5.77175,585.575,18,585.67,585.48,14
359,6.5,6.29225,585.58,396,585.68,585.48,229
362,7,6.96551,585.58,396,585.68,585.48,229
362,7.5,6.96551,585.58,396,585.68,585.48,229
364,8,7.94771,585.58,396,585.68,585.48,229
366,8.5,8.48307,585.585,398,585.68,585.49,100
370,9,8.84043,585.585,398,585.68,585.49,100
377,9.5,9.49477,585.585,813,585.68,585.49,209
404,10,9.83492,585.55,2,585.66,585.44,66
417,10.5,10.2413,585.545,18,585.65,585.44,66
435,11,10.9201,585.525,334,585.61,585.44,66
455,11.5,11.4392,585.47,100,585.58,585.36,5
459,12,11.6855,585.46,320,585.56,585.36,5
482,12.5,12.2679,585.435,320,585.51,585.36,5
487,13,12.6073,585.4,320,585.5,585.3,230
487,13.5,12.6073,585.4,320,585.5,585.3,230
489,14,13.8976,585.365,320,585.43,585.3,230
496,14.5,14.3141,585.36,320,585.42,585.3,230
496,15,14.3141,585.36,320,585.42,585.3,230
503,15.5,15.2234,585.45,100,585.54,585.36,100
503,16,15.2234,585.45,100,585.54,585.36,100
503,16.5,15.2234,585.45,100,585.54,585.36,100
503,17,15.2234,585.45,100,585.54,585.36,100
515,17.5,17.2244,585.525,2,585.68,585.37,4
515,18,17.2244,585.525,2,585.68,585.37,4
523,18.5,18.4579,585.5,18,585.64,585.36,100
523,19,18.4579,585.5,18,585.64,585.36,100
529,19.5,19.3472,585.495,18,585.63,585.36,100
547,20,19.5408,585.49,18,585.62,585.36,118
555,20.5,20.2703,585.51,14,585.61,585.41,100
555,21,20.2703,585.51,14,585.61,585.41,100
558,21.5,21.024,585.495,18,585.58,585.41,100
558,22,21.024,585.495,18,585.58,585.41,100
562,22.5,22.4804,585.52,2,585.68,585.36,100
563,23,22.6704,585.54,2,585.68,585.4,100
572,23.5,23.273,585.55,18,585.67,585.43,35
572,24,23.273,585.55,18,585.67,585.43,35
578,24.5,24.3367,585.555,2,585.68,585.43,35
578,25,24.3367,585.555,2,585.68,585.43,35
580,25.5,25.0198,585.57,2,585.68,585.46,18
580,26,25.0198,585.57,2,585.68,585.46,18
584,26.5,26.4527,585.525,2,585.68,585.37,100
598,27,26.9744,585.51,18,585.65,585.37,100
607,27.5,27.4501,585.56,18,585.65,585.47,100
618,28,27.7325,585.66,18,585.79,585.53,10
