Time,Mid_Price,Ask_Size_1,Ask_Price_1,Bid_Price_1,Bid_Size_1
0.962954,585.805,100,585.87,585.74,100
1.84085,585.62,18,585.77,585.47,18
2.75691,585.575,18,585.68,585.47,100
3.95477,585.58,100,585.71,585.45,18
4.89447,585.59,900,585.68,585.5,18
5.77175,585.575,18,585.67,585.48,14
6.96551,585.58,396,585.68,585.48,229
7.94771,585.58,396,585.68,585.48,229
8.84043,585.585,398,585.68,585.49,100
9.83492,585.55,2,585.66,585.44,66
10.9201,585.525,334,585.61,585.44,66
11.6855,585.46,320,585.56,585.36,5
12.6073,585.4,320,585.5,585.3,230
13.8976,585.365,320,585.43,585.3,230
14.3141,585.36,320,585.42,585.3,230
15.2234,585.45,100,585.54,585.36,100
17.2244,585.525,2,585.68,585.37,4
18.4579,585.5,18,585.64,585.36,100
19.5408,585.49,18,585.62,585.36,118
20.2703,585.51,14,585.61,585.41,100
21.024,585.495,18,585.58,585.41,100
22.6704,585.54,2,585.68,585.4,100
23.273,585.55,18,585.67,585.43,35
24.3367,585.555,2,585.68,585.43,35
25.0198,585.57,2,585.68,585.46,18
26.9744,585.51,18,585.65,585.37,100
27.7325,585.66,18,585.79,585.53,10
28.9775,585.63,10,585.79,585.47,100
29.9849,585.63,18,585.77,585.49,18
30.3526,585.645,18,585.77,585.52,8
31.7803,585.645,18,585.77,585.52,100
32.7992,585.66,200,585.8,585.52,100
33.8689,585.635,18,585.77,585.5,70
34.7544,585.65,18,585.77,585.53,18
35.9552,585.65,100,585.74,585.56,18
36.9572,585.625,100,585.74,585.51,200
37.3322,585.635,100,585.73,585.54,12
38.3844,585.635,100,585.73,585.54,18
39.7216,585.6,18,585.69,585.51,200
40.5951,585.6,18,585.69,585.51,200
41.0178,585.6,18,585.69,585.51,200
42.9353,585.41,300,585.52,585.3,281
43.6787,585.41,300,585.52,585.3,150
44.0708,585.395,18,585.49,585.3,150
45.6948,585.42,300,585.52,585.32,119
46.9647,585.34,100,585.51,585.17,18
47.9047,585.505,100,585.69,585.32,100
48.1146,585.505,100,585.69,585.32,100
49.4929,585.545,100,585.71,585.38,18
51.9155,585.515,100,585.71,585.32,300
52.7409,585.59,200,585.8,585.38,6
53.6878,585.52,100,585.68,585.36,18
54.6316,585.485,1000,585.65,585.32,300
55.3596,585.485,1000,585.65,585.32,300
56.974,585.485,100,585.64,585.33,14
57.7256,585.505,18,585.62,585.39,18
58.7801,585.47,18,585.62,585.32,300
59.9672,585.51,205,585.63,585.39,18
60.9401,585.46,18,585.6,585.32,300
61.9803,585.61,189,585.64,585.58,200
62.7089,585.5,1080,585.65,585.35,18
63.6148,585.51,100,585.63,585.39,18
64.8846,585.475,100,585.63,585.32,300
65.707,585.485,100,585.62,585.35,18
66.0561,585.49,100,585.63,585.35,18
67.1552,585.485,100,585.62,585.35,18
70.6074,585.44,100,585.64,585.24,18
71.8511,585.49,100,585.64,585.34,200
72.836,585.51,100,585.64,585.38,18
73.9783,585.52,100,585.64,585.4,18
74.6517,585.505,18,585.61,585.4,18
76.7734,585.51,100,585.63,585.39,218
77.7998,585.505,118,585.62,585.39,200
78.9727,585.525,100,585.61,585.44,18
79.9678,585.535,200,585.61,585.46,18
80.9586,585.535,100,585.63,585.44,18
81.9256,585.55,315,585.63,585.47,35
82.9484,585.535,200,585.63,585.44,20
83.9379,585.52,200,585.61,585.43,150
84.9466,585.415,200,585.56,585.27,18
85.9091,585.37,300,585.46,585.28,7
86.9988,585.31,200,585.4,585.22,200
87.9949,585.135,300,585.27,585,4919
88.8983,584.885,100,584.97,584.8,20
89.8843,584.885,100,584.97,584.8,20
90.7753,584.795,100,584.9,584.69,10
91.9494,584.8,200,584.95,584.65,27
92.3694,584.8,200,584.95,584.65,27
93.9679,584.8,100,584.95,584.65,27
94.6878,584.8,100,584.95,584.65,27
95.5272,584.8,100,584.95,584.65,27
96.8179,584.79,100,584.93,584.65,27
97.7883,584.745,200,584.89,584.6,5
98.7074,584.745,200,584.89,584.6,5
99.5038,584.745,200,584.89,584.6,5
100.416,584.745,200,584.89,584.6,5
101.767,584.745,200,584.89,584.6,5
102.508,584.745,200,584.89,584.6,5
103.697,584.77,102,584.94,584.6,5
105.989,585.035,50,585.4,584.67,120
106.966,585.035,50,585.4,584.67,120
107.406,584.985,100,585.3,584.67,120
108.485,584.985,100,585.3,584.67,120
109.999,584.955,1,585.03,584.88,100
110.998,585.115,1,585.35,584.88,100
111.822,584.855,1,585.04,584.67,20
112.999,585.045,1,585.24,584.85,100
113.996,584.945,1,585.04,584.85,100
114.721,585.01,402,585.17,584.85,100
115.887,585.005,100,585.16,584.85,100
116.998,585.065,100,585.28,584.85,100
117.558,585.005,100,585.16,584.85,100
118.973,585.075,100,585.3,584.85,100
120.53,585.075,100,585.3,584.85,100
121.738,585.115,100,585.38,584.85,100
122.936,585.155,100,585.3,585.01,147
123.78,585.145,200,585.3,584.99,200
124.663,585.165,200,585.3,585.03,100
125.535,585.155,200,585.28,585.03,100
126.773,585.155,400,585.27,585.04,100
127.995,585.155,400,585.27,585.04,100
128.856,585.15,200,585.26,585.04,100
129.918,585.31,200,585.44,585.18,100
130.979,585.135,100,585.23,585.04,100
131.264,585.13,100,585.22,585.04,100
132.993,585.135,100,585.23,585.04,100
133.769,585.135,200,585.23,585.04,100
134.193,585.13,100,585.22,585.04,100
135.666,585.075,100,585.2,584.95,100
136.924,585.075,113,585.2,584.95,100
137.278,585.04,113,585.2,584.88,20
138.878,585.025,113,585.2,584.85,26
139.968,585.025,113,585.2,584.85,26
140.637,585.09,100,585.33,584.85,26
141.265,585.07,18,585.29,584.85,26
142.426,585.03,100,585.21,584.85,26
144.933,585.035,100,585.22,584.85,26
146.974,585.025,1,585.2,584.85,26
147.521,585.03,1,585.21,584.85,26
148.842,585.03,1,585.21,584.85,26
149.937,585.025,1,585.2,584.85,26
151.835,585.03,1,585.2,584.86,20
152.677,585.02,1,585.18,584.86,20
153.019,585.02,1,585.18,584.86,120
154.956,585.02,1,585.18,584.86,120
155.634,585.02,1,585.18,584.86,120
157.02,585.02,1,585.18,584.86,120
158.373,585.02,1,585.18,584.86,120
159.621,585.025,1,585.19,584.86,120
160.997,584.995,1,585.19,584.8,98
161.745,584.965,1,585.12,584.81,98
162.514,584.965,1,585.12,584.81,98
163.68,584.965,201,585.12,584.81,98
164.571,585.055,200,585.15,584.96,100
165.588,585.1,100,585.2,585,100
167.492,585.1,100,585.2,585,100
168.919,585.08,100,585.2,584.96,74
169.739,585.085,100,585.2,584.97,100
170.864,585.1,100,585.2,585,98
171.705,585.1,100,585.2,585,98
172.817,585.05,100,585.09,585.01,50
173.371,585.05,100,585.09,585.01,50
174.897,585.055,100,585.09,585.02,100
175.975,585.21,100,585.33,585.09,100
176.636,585.29,45,585.33,585.25,100
177.952,585.35,68,585.43,585.27,100
178.884,585.365,68,585.43,585.3,175
179.934,585.48,980,585.64,585.32,200
180.66,585.525,980,585.64,585.41,175
181.879,585.525,100,585.61,585.44,100
182.531,585.57,980,585.64,585.5,451
183.902,585.325,980,585.64,585.01,137
184.932,585.39,980,585.64,585.14,278
185.893,585.47,880,585.64,585.3,178
186.875,585.47,180,585.64,585.3,178
187.99,585.515,180,585.64,585.39,151
188.816,585.515,180,585.64,585.39,278
189.993,585.38,200,585.62,585.14,100
190.832,585.395,200,585.62,585.17,18
191.45,585.395,200,585.62,585.17,18
192.607,585.365,18,585.56,585.17,18
193.883,585.35,18,585.56,585.14,100
194.966,585.395,180,585.64,585.15,6
195.915,585.565,18,585.71,585.42,10
196.884,585.6,18,585.77,585.43,13
197.946,585.65,18,585.82,585.48,18
198.987,585.76,5,585.98,585.54,100
199.968,586.445,18,586.52,586.37,100
200.995,586.495,2,586.73,586.26,118
201.828,586.495,100,586.64,586.35,18
202.827,586.565,2,586.73,586.4,18
203.844,586.635,2,586.73,586.54,100
204.33,586.635,2,586.73,586.54,100
205.984,586.635,2,586.73,586.54,100
207.311,586.655,2,586.73,586.58,100
208.859,586.71,102,586.73,586.69,100
209.918,586.76,100,586.83,586.69,200
210.911,586.875,100,586.99,586.76,50
211.984,586.905,568,587,586.81,14
212.956,586.965,100,587.05,586.88,18
213.991,586.945,10,587.1,586.79,18
214.983,587.035,10,587.1,586.97,100
215.99,586.935,67,587.07,586.8,18
216.97,586.99,100,587.16,586.82,100
217.974,586.94,160,587.06,586.82,100
218.186,586.94,160,587.06,586.82,100
219.865,586.355,204,586.58,586.13,14
220.978,586.36,300,586.74,585.98,100
221.987,586.46,1000,586.86,586.06,18
